Scenario - Bisection Task
Logfile written - 09/11/2018 16:35:26

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
1	270	Sound	Stim;1;test;2;38;4;1273	Stim	1	test	2	38	4	1273	7174980	0	5			0		other	0
1	271	Picture	ITI	ITI							7212376	0	1	12012	1	0	next	other	0
1	272	Sound	Stim;1;test;2;39;6;1197	Stim	1	test	2	39	6	1197	7224353	0	4			0		other	0
1	273	Picture	ITI	ITI							7269382	0	1	14859	1	0	next	other	0
1	274	Sound	Stim;1;test;2;40;4;1477	Stim	1	test	2	40	4	1477	7284158	0	4			0		other	0
1	275	Picture	ITI	ITI							7321528	0	1	18748	1	0	next	other	0
1	276	Sound	Stim;1;test;2;41;5;1866	Stim	1	test	2	41	5	1866	7340195	0	4			0		other	0
1	277	Picture	ITI	ITI							7381034	0	1	15137	1	0	next	other	0
1	278	Sound	Stim;1;test;2;42;1;1508	Stim	1	test	2	42	1	1508	7396119	0	4			0		other	0
1	279	Picture	ITI	ITI							7426167	0	1	17498	1	0	next	other	0
1	280	Sound	Stim;1;test;2;43;2;1741	Stim	1	test	2	43	2	1741	7443582	0	4			0		other	0
